Column1,Year,Name,TeamAbbr,Team,Position,VetStatus,Salary,SalaryPerc,Rank,PlayerCode,Age,League,Wins,Losses,Win_Loss,ERA,Games,GamesStart,GamesFinished,CompleteGame,ShutOut,Saves,InningsPitched,Hits_Allowed,Runs_Allowed,EarnedRuns_Allowed,HomeRuns_Allowed,BasesWalk,IntentWalk,StrikeOuts,HitByPitch,Balks,WildPitches,BattersFaced,ERAp,FieldIndPitch,Walks/HitsPerInn,H9,HR9,BB9,SO9,SO_W,VetInd,VetSO,VetWalk,VetInnP,EraWalk,VetAge,WalkAge,EraAge
3983,2017,AustinMaddox,BOS,boston-red-sox,RP,Pre-Arb,195841,0.09,495,maddoau01,9,AL,0,0,NA,0.52,13,0,5,0,0,0,17.1,13,1,1,1,2,0,14,0,0,0,67,894,2.64,0.865,6.8,0.5,1,7.3,7,0,0,0,0,1.04,0,18,4.68
4297,2017,MattDermody,TOR,toronto-blue-jays,RP,Pre-Arb,195841,0.11,193,dermoma01,9,AL,2,0,1,4.43,23,0,3,0,0,0,22.1,23,13,11,6,5,1,15,2,0,1,95,102,6.25,1.254,9.3,2.4,2,6,3,0,0,0,0,22.15,0,45,39.87
4351,2017,ReyminGuduan,HOU,houston-astros,P,Pre-Arb,195841,0.14,338,guduare01,8,AL,0,0,NA,7.88,22,0,3,0,0,0,16,24,14,14,1,12,0,16,0,0,3,83,53,4.22,2.25,13.5,0.6,6.8,9,1.33,0,0,0,0,94.56,0,96,63.04
4437,2017,TylerOlson,CLE,cleveland-indians,RP,Pre-Arb,195841,0.15,614,olsonty01,10,AL,1,0,1,0,30,0,4,0,0,1,20,13,0,0,0,6,0,18,1,0,0,77,NA,2.41,0.95,5.9,0,2.7,8.1,3,0,0,0,0,0,0,60,0
4663,2018,FranciscoArcia,LAA,los-angeles-angels,C,Pre-Arb,196310,0.11,29,arciafr01,11,AL,0,0,NA,9,2,0,2,0,0,0,3,5,3,3,2,0,0,0,0,0,0,13,53,11.83,1.667,15,6,0,0,NA,0,0,0,0,0,0,0,99
4712,2018,JalenBeeks,TBR,tampa-bay-rays,SP,Pre-Arb,196310,0.29,70,beeksja02,7,AL,5,0,1,4.47,12,0,0,0,0,0,44.1,41,22,22,5,20,0,37,2,0,0,189,94,4.45,1.376,8.3,1,4.1,7.5,1.85,0,0,0,0,89.4,0,140,31.29
4974,2018,ThyagoVieira,CHW,chicago-white-sox,SP,Pre-Arb,196310,0.27,931,vieirth01,7,AL,1,1,0.5,7.13,16,0,9,0,0,1,17.2,21,14,14,4,9,0,15,3,1,6,85,60,6.44,1.698,10.7,2,4.6,7.6,1.67,0,0,0,0,64.17,0,63,49.91
2884,2015,AndrewBellatti,TBR,tampa-bay-rays,RP,Pre-Arb,196898,0.27,59,bellaan01,6,AL,3,1,0.75,2.31,17,0,6,0,0,0,23.1,16,7,6,4,10,0,18,1,0,0,95,171,5.23,1.114,6.2,1.5,3.9,6.9,1.8,0,0,0,0,23.1,0,60,13.86
3309,2015,ScottCarroll,CHW,chicago-white-sox,RP,Pre-Arb,196898,0.17,119,carrosc02,13,AL,1,1,0.5,3.44,18,0,8,0,0,0,36.2,40,19,14,2,13,2,27,3,0,4,162,114,3.68,1.445,9.8,0.5,3.2,6.6,2.08,0,0,0,0,44.72,0,169,44.72
1884,2013,CesarCabral,NYY,new-york-yankees,RP,Pre-Arb,198142,0.08,103,cabrace01,7,AL,0,0,NA,2.45,8,0,0,0,0,0,3.2,3,1,1,0,1,0,6,1,0,2,15,180,1.41,1.091,7.4,0,2.5,14.7,6,0,0,0,0,2.45,0,7,17.15
3624,2016,JarredCosart,SDP,san-diego-padres,RP,Pre-Arb,198330,0.24,166,cosarja01,9,NL,0,3,0,6.03,9,9,0,0,0,0,37.1,42,27,25,4,23,0,27,2,0,1,176,66,5.1,1.741,10.1,1,5.5,6.5,1.17,0,0,0,0,138.69,0,207,54.27
