,Year,Name,Tm,Team,Position,VetStatus,Salary,SalaryPerc,Rk,Code,Age,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
70,2009,BrandonMcCarthy,TEX,texas-rangers,SP,Pre-Arb,650000,0.91,803,mccarbr01,25,AL,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
71,2009,BrandonMorrow,SEA,seattle-mariners,RP/CL,Pre-Arb,425000,0.48,866,morrobr01,24,AL,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
72,2009,BrandonMoss,PIT,pittsburgh-pirates,DH,Pre-Arb,414500,0.7,871,mossbr01,25,NL,133,424,385,47,91,20,4,7,41,1,5,34,84,0.236,0.304,0.364,0.668,77,140,7,4,0,1,3
73,2009,BrandonPhillips,CIN,cincinnati-reds,2B,Arb 2,4937500,9.01,982,phillbr01,28,NL,153,644,584,78,161,30,5,20,98,25,9,44,75,0.276,0.329,0.447,0.776,103,261,21,6,2,8,3
74,2009,BrandonWebb,ARI,arizona-diamondbacks,SP,Pre-Arb,6500000,9.34,1303,webbbr01,30,NL,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
75,2009,BrandonWood,LAA,los-angeles-angels,SS,Pre-Arb,405000,0.39,1338,woodbr01,24,AL,18,46,41,5,8,1,0,1,3,0,0,3,19,0.195,0.267,0.293,0.559,48,12,3,1,1,0,0
76,2009,BrayanPena,KCR,kansas-city-royals,C,Pre-Arb,405000,0.89,955,penabr01,27,AL,64,183,165,17,45,10,0,6,18,0,0,12,18,0.273,0.318,0.442,0.761,100,73,5,0,4,2,2
77,2009,BrendanHarris,MIN,minnesota-twins,2B,Pre-Arb,466100,0.74,543,harribr01,28,AL,123,453,414,44,108,22,1,6,37,0,2,29,78,0.261,0.31,0.362,0.672,78,150,16,3,1,6,0
78,2009,BrendanRyan,STL,st.-louis-cardinals,1B,Pre-Arb,405000,0.58,1099,ryanbr01,27,NL,129,429,390,55,114,19,7,3,37,14,7,24,56,0.292,0.34,0.4,0.74,97,156,9,6,6,3,3
79,2009,BrentLillibridge,CHW,chicago-white-sox,LF,Pre-Arb,402500,0.44,722,lillibr01,25,AL,46,112,95,9,15,2,0,0,3,6,3,14,26,0.158,0.273,0.179,0.452,20,17,2,1,2,0,0
80,2009,BrettAnderson,OAK,oakland-athletics,SP,Vet,400000,0.65,17,anderbr04,21,AL,2,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
81,2009,BrettCecil,TOR,toronto-blue-jays,RP,Pre-Arb,400000,0.57,241,cecilbr01,22,AL,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
82,2009,BrettGardner,NYY,new-york-yankees,LF,Pre-Arb,414000,0.19,430,gardnbr01,25,AL,108,284,248,48,67,6,6,3,23,26,5,26,40,0.27,0.345,0.379,0.724,87,94,3,3,6,1,0
83,2009,BrettMyers,PHI,philadelphia-phillies,SP,Vet,12083334,11.78,883,myersbr01,28,NL,17,20,18,2,4,1,0,0,0,0,0,1,4,0.222,0.263,0.278,0.541,43,5,0,0,1,0,0
84,2009,BrianBruney,NYY,new-york-yankees,RP,Pre-Arb,1250000,0.57,165,brunebr01,27,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
85,2009,BrianFuentes,LAA,los-angeles-angels,RP,Vet,8500000,8.18,418,fuentbr01,33,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
86,2009,BrianMcCann,ATL,atlanta-braves,C,Vet,3666666,4.49,802,mccanbr01,25,NL,138,551,488,63,137,35,1,21,94,4,1,49,83,0.281,0.349,0.486,0.834,119,237,17,5,3,6,3
87,2009,BrianRoberts,BAL,baltimore-orioles,2B,Vet,8000000,14.19,1059,roberbr01,31,AL,159,717,632,110,179,56,1,16,79,30,7,74,112,0.283,0.356,0.451,0.807,110,285,7,2,1,8,3
88,2009,BrianSchneider,NYM,new-york-mets,C,Vet,4900000,4.52,1135,schnebr01,32,NL,59,194,170,11,37,11,0,3,24,0,0,18,21,0.218,0.292,0.335,0.627,68,57,5,1,2,3,1
89,2009,BrianTallet,TOR,toronto-blue-jays,RP,Arb 2,1015000,1.45,1208,tallebr01,31,AL,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
90,2009,BrianWilson,SFG,san-francisco-giants,RP,Pre-Arb,480000,0.79,1324,wilsobr01,27,NL,67,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,1,0,0,0,0
91,2009,BronsonArroyo,CIN,cincinnati-reds,SP,Vet,10750000,19.63,33,arroybr01,32,NL,34,76,62,4,7,3,0,0,0,0,0,0,27,0.113,0.113,0.161,0.274,-28,10,2,0,14,0,0
92,2009,BrooksConrad,ATL,atlanta-braves,2B,Pre-Arb,400000,0.49,272,conrabr01,29,NL,30,58,54,7,11,1,2,2,8,0,0,3,14,0.204,0.259,0.407,0.666,74,22,1,1,0,0,1
93,2009,BruceChen,KCR,kansas-city-royals,RP,Vet,600000,1.32,252,chenbr01,32,AL,1,2,1,0,1,0,0,0,0,0,0,1,0,1,1,1,2,438,1,0,0,0,0,0
94,2009,BuddyCarlyle,ATL,atlanta-braves,RP,Pre-Arb,425000,0.52,221,carlybu01,31,NL,17,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
95,2009,BudNorris,HOU,houston-astros,SP,Pre-Arb,148633,0.17,898,norribu01,24,NL,11,18,16,1,3,0,0,0,0,0,0,0,4,0.188,0.235,0.188,0.423,15,3,0,1,1,0,0
96,2009,CarlCrawford,TBR,tampa-bay-rays,LF,Vet,8250000,20.8,290,crawfca02,27,AL,156,672,606,96,185,28,8,15,68,60,16,51,99,0.305,0.364,0.452,0.816,116,274,7,8,2,5,1
97,2009,CarlosBeltran,NYM,new-york-mets,DH,Vet,20171428,18.6,104,beltrca01,32,NL,81,357,308,50,100,22,1,10,48,11,1,47,43,0.325,0.415,0.5,0.915,144,154,9,1,0,1,10
98,2009,CarlosFisher,CIN,cincinnati-reds,RP,Pre-Arb,400000,0.73,388,fisheca01,26,NL,35,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
99,2009,CarlosGomez,MIN,minnesota-twins,CF,Pre-Arb,437500,0.69,463,gomezca01,23,AL,137,349,315,51,72,15,5,3,28,14,7,22,72,0.229,0.287,0.337,0.623,65,106,1,4,7,1,0
100,2009,CarlosGonzalez,COL,colorado-rockies,RF,Vet,403000,0.59,470,gonzaca01,23,NL,89,317,278,53,79,14,7,13,29,16,4,28,70,0.284,0.353,0.525,0.878,118,146,3,3,5,3,3
101,2009,CarlosGuillen,DET,detroit-tigers,1B,Pre-Arb,10000000,9.25,502,guillca01,33,AL,81,322,277,36,67,10,3,11,41,1,3,39,56,0.242,0.339,0.419,0.757,97,116,7,3,0,3,2
102,2009,CarlosLee,HOU,houston-astros,1B,Vet,19000000,22.14,711,leeca01,33,NL,160,662,610,65,183,35,1,26,102,5,3,41,51,0.3,0.343,0.489,0.831,119,298,21,3,0,8,5
103,2009,CarlosMarmol,CHC,chicago-cubs,RP,Pre-Arb,575000,0.49,767,marmoca01,26,NL,75,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
104,2009,CarlosPena,TBR,tampa-bay-rays,1B,Vet,8000000,20.17,956,penaca01,31,AL,135,570,471,91,107,25,2,39,100,3,3,87,163,0.227,0.356,0.537,0.893,133,253,5,9,0,3,11
105,2009,CarlosQuentin,CHW,chicago-white-sox,LF,Pre-Arb,550000,0.6,1006,quentca01,26,AL,99,399,351,47,83,14,0,21,56,3,0,31,52,0.236,0.323,0.456,0.779,98,160,11,15,0,2,2
